# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.006	0.972	0.223	0.501	0.281	0.492	0.158	0.464
0.017	1.000	0.129	0.587	0.197	0.540	0.172	0.693
0.029	1.032	0.176	0.595	0.223	0.490	0.216	0.550
0.040	1.061	0.207	0.645	0.161	0.441	0.190	0.889
0.052	1.093	0.181	0.725	0.112	0.629	0.163	0.527
0.063	1.129	0.174	0.611	0.162	0.491	0.196	0.676
0.075	1.171	0.182	0.663	0.181	0.517	0.170	0.463
0.086	1.210	0.392	-0.198	0.217	0.130	0.266	0.544
0.098	1.251	0.274	0.226	0.232	0.389	0.293	0.419
0.109	1.299	0.184	0.766	0.216	0.660	0.187	0.537
0.121	1.360	0.266	0.356	0.252	0.452	0.255	0.620
0.132	1.414	0.152	0.756	0.169	0.751	0.265	0.706
0.144	1.469	0.208	0.663	0.400	0.391	0.341	0.561
0.155	1.518	0.262	0.268	0.191	0.467	0.250	0.419
0.167	1.571	0.100	0.845	0.107	0.898	0.054	0.629
0.178	1.621	0.177	0.723	0.164	0.678	0.185	0.644
0.190	1.671	0.119	0.837	0.074	0.738	0.043	0.862
0.201	1.717	0.122	0.856	0.124	0.816	0.196	0.962
0.213	1.769	0.159	0.720	0.122	0.653	0.194	0.527
0.224	1.822	0.185	0.734	0.176	0.722	0.291	0.676
0.236	1.879	0.138	0.764	0.135	0.684	0.088	0.854
0.247	1.926	0.181	0.571	0.211	0.453	0.277	0.666
0.259	1.975	0.155	0.469	0.208	0.367	0.209	0.557
0.270	2.021	0.210	0.463	0.200	0.400	0.260	0.604
0.282	2.075	0.290	0.199	0.245	0.339	0.319	0.419
0.293	2.125	0.226	0.624	0.280	0.590	0.289	0.706
0.305	2.174	0.291	0.266	0.388	0.269	0.324	0.536
0.316	2.217	0.224	0.464	0.325	0.307	0.281	0.614
0.328	2.263	0.349	0.042	0.281	0.176	0.296	0.429
0.339	2.303	0.131	0.590	0.194	0.560	0.180	0.678
0.351	2.344	0.182	0.482	0.201	0.454	0.227	0.698
0.362	2.390	0.275	0.290	0.190	0.512	0.312	0.608
0.369	2.418	0.112	0.879	0.098	0.841	0.045	0.885
0.376	2.447	0.151	0.763	0.128	0.664	0.117	0.561
0.387	2.491	0.169	0.697	0.166	0.609	0.254	0.867
0.398	2.534	0.173	0.809	0.158	0.741	0.184	0.567
0.410	2.580	0.341	0.227	0.214	0.383	0.327	0.608
0.421	2.625	0.224	0.546	0.198	0.468	0.277	0.602
0.432	2.670	0.198	0.734	0.167	0.638	0.268	0.638
0.444	2.718	0.167	0.683	0.122	0.644	0.146	0.589
0.455	2.761	0.155	0.662	0.002	0.623	0.057	0.549
0.466	2.800	0.167	0.660	0.158	0.619	0.202	0.537
0.478	2.844	0.177	0.641	0.205	0.557	0.285	0.604
0.489	2.888	0.207	0.423	0.309	0.230	0.256	0.683
0.500	2.934	0.194	0.643	0.207	0.590	0.250	0.580
0.512	3.000	0.153	0.628	0.155	0.619	0.087	0.535
0.523	3.066	0.140	0.597	0.184	0.524	0.168	0.604
0.534	3.127	0.311	0.328	0.161	0.509	0.207	0.531
0.546	3.190	0.247	0.491	0.236	0.441	0.285	0.602
0.557	3.246	0.239	0.527	0.209	0.451	0.250	0.580
0.568	3.305	0.214	0.582	0.174	0.514	0.213	0.602
0.580	3.370	0.174	0.660	0.214	0.442	0.097	0.539
0.591	3.432	0.187	0.617	0.155	0.612	0.212	0.676
0.602	3.493	0.171	0.773	0.135	0.673	0.175	0.853
0.614	3.563	0.312	0.280	0.235	0.562	0.305	0.768
0.625	3.624	0.262	0.396	0.181	0.582	0.136	0.507
0.637	3.688	0.105	0.691	0.149	0.702	0.091	0.751
0.648	3.743	0.297	0.391	0.293	0.450	0.343	0.516
0.659	3.803	0.129	0.711	0.102	0.694	0.046	0.567
0.671	3.870	0.128	0.717	0.120	0.736	0.112	0.636
0.682	3.935	0.154	0.713	0.180	0.653	0.101	0.710
0.693	3.996	0.205	0.515	0.225	0.543	0.152	0.742
0.705	4.059	0.314	0.232	0.124	0.385	0.312	0.377
0.716	4.120	0.152	0.870	0.124	0.861	0.172	0.898
0.727	4.182	0.110	0.795	0.156	0.764	0.221	0.962
0.739	4.252	0.133	0.632	0.135	0.557	0.168	0.604
0.750	4.311	0.268	0.298	0.170	0.503	0.210	0.383
0.761	4.380	0.192	0.765	0.454	0.451	0.398	0.949
0.773	4.455	0.096	0.745	0.098	0.777	0.049	0.644
0.784	4.519	0.252	0.399	0.145	0.664	0.089	0.571
0.795	4.583	0.316	0.847	0.620	0.497	0.405	0.622
0.807	4.656	0.123	0.746	0.209	0.669	0.133	0.732
