# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.050	2.013	0.105	0.646	0.066	0.635	0.075	0.330
0.140	2.483	0.113	0.757	0.151	0.617	0.207	0.618
0.230	2.954	0.141	0.522	0.152	0.774	0.124	0.535
0.300	3.320	0.160	0.448	0.119	0.417	0.151	0.490
0.350	3.581	0.193	0.414	0.204	0.455	0.221	0.546
0.400	3.843	0.140	0.553	0.075	0.562	0.150	0.536
0.500	4.365	0.144	0.650	0.113	0.580	0.202	0.663
0.600	4.888	0.170	0.320	0.291	0.483	0.242	0.485
0.700	5.411	0.112	0.804	0.087	0.689	0.205	0.602
0.800	6.117	0.161	0.463	0.142	0.643	0.205	0.538
0.900	6.912	0.120	0.633	0.119	0.529	0.245	0.558
1.000	7.706	0.159	0.542	0.166	0.670	0.198	0.513
1.100	8.501	0.119	0.538	0.114	0.643	0.116	0.397
1.200	9.296	0.198	0.546	0.126	0.539	0.180	0.628
1.300	10.568	0.090	0.881	0.040	0.747	0.097	0.780
1.400	12.046	0.111	0.935	0.078	0.904	0.101	0.567
1.500	13.524	0.074	1.053	0.053	0.741	0.125	0.686
1.600	15.002	0.043	1.145	0.081	0.935	0.159	0.719
1.700	16.480	-0.018	1.042	0.086	0.847	0.096	0.758
1.800	17.958	0.320	0.457	0.370	0.402	0.294	0.335
1.900	19.637	0.264	0.943	0.270	0.901	0.480	1.001
2.000	21.385	0.188	0.952	0.198	1.156	0.480	0.968
2.100	23.132	0.246	0.750	0.303	0.799	0.441	0.501
2.200	24.879	0.371	0.246	0.322	0.451	0.300	0.403
2.300	26.626	0.281	0.469	0.275	0.593	0.364	0.355
