# depth_[cm]	time_[kyBP]	MLR_POC_flux_[mol/m2/y]	MLR_PIC:POC_[mol:mol]	PLSR_POC_flux_[mol/m2/y]	PLSR_PIC:POC_[mol:mol]	GBR_POC_flux_[mol/m2/y]	GBR_PIC:POC_[mol:mol]
0.015	0.729	0.076	0.474	0.208	0.632	0.152	0.516
0.065	0.973	0.153	0.414	0.175	0.558	0.112	0.236
0.115	1.217	0.112	0.399	0.099	0.517	0.105	0.602
0.165	1.461	0.067	0.589	0.163	0.527	0.195	0.552
0.215	1.705	0.025	0.777	0.083	0.661	0.231	0.849
0.265	2.113	0.065	0.583	0.164	0.504	0.128	0.740
0.315	2.521	0.073	0.663	0.091	0.597	0.215	0.588
0.365	2.929	-0.010	0.598	0.149	0.589	0.194	0.631
0.415	3.383	0.139	0.514	0.211	0.512	0.198	0.468
0.465	3.837	0.048	0.565	0.016	0.316	0.075	0.569
0.515	4.291	-0.002	0.901	0.150	0.837	0.220	0.851
0.565	4.932	0.097	0.491	0.121	0.535	0.078	0.288
0.615	5.572	0.100	0.369	0.172	0.478	0.082	0.196
0.665	6.213	0.137	0.387	0.149	0.440	0.095	0.365
0.715	6.853	0.265	0.181	0.305	0.258	0.362	0.441
0.765	7.494	0.149	0.280	0.054	0.077	0.095	0.331
0.815	8.196	0.157	0.449	0.112	0.527	0.139	0.456
0.865	8.898	0.171	0.415	0.086	0.507	0.149	0.360
0.915	9.600	0.111	0.523	0.079	0.515	0.086	0.299
0.965	10.292	0.046	0.706	0.107	0.870	0.062	0.485
1.015	10.984	0.159	0.615	0.110	0.696	0.066	0.363
1.065	11.451	0.183	0.442	0.162	0.513	0.139	0.533
1.115	11.918	0.224	0.654	0.174	0.483	0.224	0.537
1.165	12.385	0.227	0.601	0.123	0.511	0.111	0.385
1.215	12.852	0.169	0.792	0.150	0.771	0.196	0.479
1.265	13.319	0.136	0.694	0.188	0.811	0.273	0.622
1.315	13.786	0.123	1.192	0.082	0.992	0.097	0.966
1.365	14.480	0.161	0.905	0.178	1.010	0.082	0.573
1.415	15.573	0.204	0.749	0.276	0.889	0.170	0.447
1.465	16.666	0.280	0.672	0.197	0.554	0.280	0.796
1.515	19.387	0.444	0.494	0.362	0.609	0.428	0.461
1.565	22.676	0.446	0.607	0.374	0.791	0.263	0.376
1.615	25.547	0.462	0.187	0.543	0.305	0.564	0.268
1.665	28.418	0.275	0.561	0.270	0.527	0.287	0.440
1.715	42.314	0.331	0.252	0.331	0.192	0.424	0.486
1.765	56.210	0.318	0.346	0.286	0.475	0.401	0.238
1.815	70.106	0.266	0.590	0.181	0.655	0.126	0.428
1.865	71.804	0.287	0.422	0.188	0.312	0.255	0.290
1.915	72.628	0.216	0.579	0.157	0.436	0.121	0.350
1.965	73.453	0.226	0.437	0.149	0.521	0.071	0.569
2.015	74.277	0.267	0.504	0.211	0.563	0.159	0.282
2.065	75.101	0.159	0.581	0.119	0.739	0.050	0.382
2.115	75.925	0.204	0.379	0.191	0.443	0.226	0.371
2.165	76.749	0.223	0.470	0.197	0.681	0.069	0.474
2.215	77.574	0.219	0.432	0.222	0.671	0.261	0.431
2.265	78.398	0.172	0.612	0.084	0.735	0.027	0.540
2.315	79.222	0.163	0.708	0.165	0.785	0.050	0.540
2.365	80.047	0.143	0.598	0.169	0.631	0.107	0.388
2.415	80.871	0.154	0.588	0.134	0.694	0.087	0.216
2.465	81.695	0.082	0.917	0.147	0.882	0.214	0.644
2.515	82.519	0.135	0.732	0.110	0.645	0.226	0.429
2.565	83.344	0.184	0.590	0.250	0.658	0.348	0.649
2.615	84.168	0.135	0.783	0.161	0.559	0.073	0.594
2.665	84.992	0.200	0.538	0.236	0.624	0.196	0.467
2.715	85.461	0.234	0.564	0.232	0.530	0.243	0.217
2.765	85.930	0.175	0.726	0.333	0.448	0.463	0.644
2.815	86.399	0.187	0.655	0.282	0.540	0.193	0.430
2.865	86.868	0.277	0.340	0.208	0.349	0.270	0.290
2.915	87.337	0.347	0.438	0.373	0.456	0.215	0.335
2.965	87.805	0.279	0.641	0.215	0.693	0.514	0.237
3.015	88.274	0.270	0.798	0.169	0.487	0.230	0.603
3.065	88.743	0.223	0.780	0.199	0.690	0.058	0.942
3.115	89.212	0.254	0.720	0.169	0.677	0.382	0.302
3.165	89.681	0.253	0.612	0.264	0.637	0.139	0.422
3.215	90.150	0.271	0.718	0.224	0.540	0.270	0.341
3.265	90.619	0.269	0.588	0.191	0.469	0.227	0.278
3.315	91.211	0.202	0.692	0.155	0.821	0.235	0.571
3.365	91.803	0.291	0.461	0.216	0.430	0.202	0.118
3.415	92.395	0.308	0.446	0.197	0.435	0.225	0.306
3.465	92.987	0.202	0.606	0.070	0.645	0.125	0.512
3.515	93.579	0.188	0.894	0.240	0.865	0.243	0.742
3.565	94.171	0.266	0.562	0.263	0.603	0.122	0.288
3.615	94.763	0.155	0.529	0.167	0.539	0.133	0.321
3.665	95.355	0.146	0.503	0.180	0.511	0.108	0.198
3.715	95.947	0.210	0.363	0.220	0.460	0.180	0.198
3.765	96.539	0.260	0.310	0.179	0.168	0.171	0.214
3.815	97.131	0.203	0.545	0.177	0.511	0.208	0.388
3.865	97.723	0.172	0.600	0.184	0.547	0.100	0.482
3.915	98.315	0.110	0.712	0.171	0.671	0.157	0.810
3.965	98.907	0.172	0.459	0.101	0.548	0.114	0.553
4.015	99.499	0.113	0.696	0.117	0.681	0.111	0.282
4.065	100.091	0.072	0.925	0.094	0.845	0.114	0.749
4.115	100.683	0.137	0.707	0.168	0.611	0.120	0.716
4.165	101.275	0.042	1.099	0.047	0.837	0.085	0.616
4.215	101.867	0.125	0.828	0.127	0.765	0.150	0.575
4.265	102.459	0.246	0.382	0.278	0.485	0.167	0.468
4.315	103.051	0.126	0.762	0.109	0.798	0.107	0.506
4.365	103.643	0.142	0.630	0.219	0.653	0.197	0.569
4.415	104.235	0.289	0.363	0.273	0.507	0.256	0.426
4.465	104.827	0.369	0.522	0.414	0.486	0.530	0.405
4.515	105.419	0.419	0.283	0.351	0.279	0.465	0.458
4.565	106.011	0.367	0.399	0.336	0.425	0.497	0.181
4.615	106.603	0.323	0.490	0.254	0.413	0.459	0.341
4.665	107.195	0.363	0.322	0.253	0.418	0.390	0.326
4.715	107.787	0.200	0.848	0.170	0.723	0.157	0.501
4.765	108.379	0.139	1.119	0.140	0.922	0.165	0.992
4.815	108.971	0.173	0.872	0.262	0.790	0.280	0.786
4.865	109.562	0.240	0.544	0.272	0.690	0.182	0.262
4.915	110.154	0.191	0.620	0.242	0.655	0.215	0.351
4.965	110.746	0.063	0.700	0.046	0.677	0.163	0.282
5.015	111.338	0.115	0.570	0.201	0.711	0.100	0.344
5.065	111.930	0.173	0.682	0.112	0.644	0.100	0.349
5.115	112.522	-0.008	0.980	0.053	0.832	0.056	0.732
5.165	113.114	-0.022	0.904	0.085	0.738	0.109	0.714
5.215	113.706	0.011	0.736	0.117	0.726	0.053	0.633
5.265	114.298	0.170	0.495	0.186	0.630	0.123	0.245
5.315	114.890	0.093	1.028	0.095	1.134	0.134	0.847
5.365	115.482	0.026	0.970	0.033	0.890	0.054	0.684
5.415	116.074	0.050	0.790	0.131	0.825	0.157	0.798
5.465	116.666	0.142	0.680	0.176	0.884	0.138	0.586
5.515	117.258	0.003	0.832	0.071	0.868	0.116	0.681
5.565	117.850	0.108	0.930	0.152	0.779	0.169	0.710
5.615	118.442	0.025	1.097	0.154	1.168	0.122	0.908
5.665	119.034	0.066	0.617	0.148	0.694	0.139	0.553
5.715	119.626	-0.000	0.897	0.014	0.826	0.077	0.718
5.765	120.218	-0.009	1.028	0.019	0.860	0.078	0.700
5.815	120.810	-0.072	1.090	-0.019	1.057	0.069	0.708
5.865	121.402	-0.080	0.965	0.022	0.987	0.033	0.645
5.915	121.994	-0.091	0.986	0.005	0.855	0.059	0.803
5.965	122.586	-0.054	0.859	0.028	0.901	0.080	0.629
6.015	123.178	-0.017	0.668	0.024	0.692	0.067	0.633
6.065	123.770	-0.107	1.018	0.001	0.998	0.055	0.660
6.115	124.362	-0.091	0.962	0.010	0.976	0.055	0.720
6.165	124.954	-0.110	0.963	-0.031	0.937	0.074	0.708
6.215	125.546	-0.034	0.810	0.017	0.781	0.073	0.603
6.265	126.138	-0.070	0.879	-0.026	0.802	0.047	0.660
6.315	126.730	0.004	0.974	0.059	1.029	0.068	0.956
6.365	127.322	-0.133	1.159	-0.059	1.074	0.088	1.047
6.415	127.914	-0.050	0.970	0.045	0.989	0.080	1.039
6.465	128.506	-0.084	1.108	-0.013	1.017	0.036	1.047
6.515	128.919	-0.014	0.936	0.069	1.184	0.075	0.702
6.565	129.332	0.026	0.991	0.040	1.155	0.058	1.120
6.615	129.745	0.190	1.203	0.090	0.917	0.154	0.986
6.665	130.158	0.049	1.115	0.106	1.045	0.088	1.108
6.715	130.852	0.055	1.163	0.048	1.011	0.077	0.977
6.765	131.546	0.197	0.889	0.183	0.791	0.149	0.252
6.815	132.240	0.039	1.226	0.072	0.935	0.143	1.332
6.865	132.935	0.075	1.261	0.160	1.045	0.280	1.060
6.915	133.629	0.072	1.053	0.066	0.788	0.083	1.335
6.965	134.323	0.108	1.000	0.221	0.928	0.122	1.033
7.015	135.017	0.319	0.742	0.243	0.618	0.447	0.378
7.065	135.711	0.258	0.620	0.051	0.844	0.133	0.566
7.115	144.899	0.505	0.142	0.308	0.363	0.354	0.394
7.165	154.086	0.480	0.329	0.305	0.401	0.268	0.153
7.215	163.274	0.453	0.191	0.229	0.345	0.396	0.278
7.265	172.462	0.350	0.459	0.154	0.626	0.209	0.361
7.315	181.649	0.368	0.257	0.272	0.577	0.304	0.436
7.365	190.837	0.296	0.385	0.198	0.582	0.105	0.282
7.415	192.655	0.331	0.334	0.212	0.500	0.245	0.310
7.465	194.473	0.281	0.459	0.208	0.524	0.230	0.194
7.515	196.290	0.197	0.536	0.069	0.510	0.121	0.362
7.565	198.108	0.164	0.692	0.125	0.751	0.139	0.510
7.615	199.926	0.125	0.767	0.140	0.776	0.128	0.481
