;reference;station;deployment;zone;lat_degN;lon_degE;depth_m;pic_poc;bsi_poc;mass_mg_m2_d;poc_µmol_m2_d;pic_µmol_m2_d;bsi_µmol_m2_d;Actinocyclus_actinochilus;Actinocyclus_cuneiformis;Actinocyclus_curvatulus;Actinocyclus_exiguus;Actinocyclus_octonarius;Actonicyclus_rattrayi;Actinocyclus_spp.;Alveus_marinus;Amphora_copulata;Asteromphalus_heptactis;Asteromphalus_hookeri;Asteromphalus_hyalinus;Asteromphalus_parvulus;Asteromphalus_spp.;Azpeitia_tabularis;Banquisia_belgicae;Chaetoceros_atlanticus;Chaetoceros_aequatorialis_var_antarcticus;Chaetoceros_bulbosus;Chaetoceros_criophilus;Chaetoceros_decipiens;Chaetoceros_diadema;Chaetoceros_dichaeta;Chaetoceros_peruvianus;Chaetoceros_radicans;Chaetoceros_sub._Hyalochaete;Chaetoceros_sub_Phaeoceros;Cocconeis_costata;Cocconeis_dallmannii;Cocconeis_fasciolata;Cocconeis_california_var_california;Cocconeis_california_var_kerguelensis;Cocconeis_melchioroides;Cocconeis_spp.;Corethron_inerme;Corethron_pennatum;Coscinodiscus_asteromphalus;Coscinodiscus_curvatulus;Coscinodiscus_marginatus;Coscinodiscus_spp.;Cyclotella_spp.;Dactyliosolen_antarcticus;Denticulopsis_spp.;Diploneis_bombus;Eucampia_antarctica;Eupyxidicula_turris;Fallacia_marnieri;Fragilariopsis_bicapitata;Fragilariopsis_curta;Fragilariopsis_cylindrus;Fragilariopsis_doliolus;Fragilariopsis_kerguelensis;Fragilariopsis_obliquecostata;Fragilariopsis_panduriformis;Fragilariopsis_pseudonana;Fragilariopsis_rhombica;Fragilariopsis_ritscheri;Fragilariopsis_separanda;Fragilariopsis_vanheurckii;Fragilariopsis_spp.;Gomphomenopsis_littoralis;Guinardia_cylindrus;Gyrosigma_spp;Haslea_trompii;Leptocylindrus_spp.;Licmophora_gracilis;Manguinea_fusiformis;Melosira_adeliae;Membraneis_challengeri;Navicula_directa;Navicula_spp.;Nitzschia_bicapitata;Nitzschia_braarudii;Nitzschia_interruptestriata;Nitzschia_kolaczeckii;Nitzschia_sicula;Nitzschia_stellata;Nitzschia_taeniiformis;Nitzschia_spp.;Odontella_weissflogii;Odontella_weissflogii_spore;Paralia_sulcata;Paralia_spp.;Plagiotropis_gaussii;Pleurosigma_directum;Pleurosigma_spp.;Porosira_glacialis;Porosira_pseudodenticulata;Proboscia_alata;Proboscia_inermis;Proboscia_truncata;Proboscia_spp.;Psammodictyon_panduriforme;Pseudogomphonema_kamtschaticum;Pseudo-nitzschia_heimii;Pseudo-nitzschia_lineola;Pseudo-nitzschia_prolongatoides;Pseudo-nitzschia_turgiduloides;Pseudo-nitzschia_heimii_lineola;Rhizosolenia_antennata;Rhizosolenia_bergonii;Rhizosolenia_chunii;Rhizosolenia_costata;Rhizosolenia_crassa;Rhizosolenia_curvata;Rhizosolenia_hebetata;Rhizosolenia_polydactyla;Rhizosolenia_sima;Rhizosolenia_simplex;Rhizosolenia_styliformis;Rhizosolenia_spp.;Roperia_tesselata;Rouxia spp.;Shionodiscus_gracilis_var_expectus;Shionodiscus_gracilis_var_gracilis;Shionodiscus_freguelliopsis;Shionodiscus_oestrupii;Shionodiscus_trifultus;Stellarima_microtrias;Stellarima_stellaris;Synedropsis_laevis;Synedropsis_recta;Synedropsis_spp.;Thalassionema_nitzschioides;Thalassionema_nitzschioides_var_capitulata;Thalassionema_nitzschioides_var_lanceolata;Thalassionema_nitzschioides_var_parva;Thalassiosira_antarctica;Thalassiosira_decipiens;Thalassiosira_eccentrica;Thalassiosira_ferrelineata;Thalassiosira_gracilis;Thalassiosira_gracilis_var_expecta;Thalassiosira_gravida;Thalassiosira_lentiginosa;Thalassiosira_leptoptus;Thalassiosira_lineata;Thalassiosira_maculata;Thalassiosira_oestrupii;Thalassiosira_oliverana;Thalassiosira_scotia;Thalassiosira_symmetrica;Thalassiosira_tumida;Thalassiothrix_antarctica;Trachyneis_aspera;Trichotoxon_reinboldii
0;Rigual_Hernandez_2015a;47S;47S-1;SAZ;-46.77;142.07;1000;1.2403500429959036;0.18097862307287477;54.19000000000001;297.5000000000001;384.2;60.6666666666667;0.0;5.432991179479378;0.1263850533686375;0.0;0.0;0.0;1.0933508065856905;0.196078431372549;0.0;0.0;0.1445885509838998;0.040899795501022504;0.0;0.0;14.697043776955763;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1349085711561044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0533333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.025380710659898498;0.0;0.0;0.0;0.0480769230769231;0.0;0.0;0.0;0.0;0.0;0.1953500577724323;35.65597178151999;0.0;0.0;0.0;0.24746509868085612;0.2006436432757726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.732292494357833;0.23396733650142648;0.0;0.8518002944357417;1.086927560432875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6638136949605261;0.0;0.2159868431987325;0.0;0.0;0.0;0.0;0.10666666666666699;0.0;0.0480769230769231;0.025380710659898498;0.0;0.0;0.0;0.0945885509838998;1.86296895715027;0.0;0.0;0.0;0.0;0.0;0.025380710659898498;0.0;0.0;0.0;0.24440433212996399;2.213919257650759;0.0;0.0;0.0;0.0;0.0;2.1264232788601083;0.0;0.6162167553136667;0.0;0.0;0.0;0.0571772130446362;0.025380710659898498;0.025380710659898498;0.0;0.0;0.0;1.3247758300258625;0.5609036189680016;0.5248765157403529;0.061728395061728406;0.0;2.6586396448743366;0.0;2.5510652739258552;0.06359300476947541;1.8806891573190678;0.0465116279069767;0.0;0.3206882304332425;0.152569723347421;1.411292980247929;0.0;0.0
1;Rigual_Hernandez_2015a;47S;47S-1;SAZ;-46.77;142.07;1000;1.1301409710105357;0.1657501754059724;41.233333333333334;244.44444444444454;288.22222222222223;43.51851851851852;0.026903416733925222;3.4161939941435637;0.5485161088546611;0.0;0.0;0.0;0.08071025020177566;0.0;0.0;0.0;0.0;0.0;0.07378574209726323;0.0;15.39313492626009;0.0;0.05559032123487689;0.0;0.0;0.0;0.0;0.0;0.0;0.13720969815982656;0.0;1.203142695243962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08252850364812354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10432968179447055;0.0;0.0;0.0;0.0;0.0;0.7881303153272218;37.32356816511968;0.0;0.0;0.0;0.05817077053663766;0.046882325363338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.322311533664686;0.2482231508268152;0.0;0.39897542427543936;0.5335917026627376;0.0;0.0;0.0;0.0;0.0;0.0;0.046882325363338;0.0;0.0;0.17513429839742045;0.0;0.10501833022065434;0.07466010314111576;0.0;0.0;0.026903416733925222;0.07466010314111576;0.0;0.0;0.0;0.0;0.0;0.08227877439391833;0.16273929534148876;1.0341164108523615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1119776040044881;3.671549228489814;0.0;0.0;0.0;0.0;0.0;0.46933667083854896;0.0;0.5263321993330012;0.0;0.0;0.0;0.10852279365887478;0.026903416733925222;0.2889981885553786;0.0;0.0;0.0;0.6638442383715384;0.3098193375514638;0.4359674158550516;0.05562508691419833;0.0;6.8857030965935495;0.0;1.611818052940467;0.20207209551471847;7.350079774294498;0.10414396917680177;0.0;0.37025222244859846;0.0;4.919724792881421;0.046882325363338;0.0
2;Rigual_Hernandez_2015a;47S;47S-1;SAZ;-46.77;142.07;1000;1.7090962881090532;0.31462601700899556;66.74;306.6666666666668;505.8;92.66666666666666;0.0;2.347377121062809;0.3924106300624616;0.0988875154511742;0.0;0.0;0.249625934580529;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.340426629899798;0.0;0.992768850432632;0.0;0.0;0.0;0.0;0.0;0.2494437577255872;0.547218788627936;0.0;2.807799368358308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0999375780274656;0.0;0.1492569582237192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1496883565530634;49.87600655150412;0.0;0.0;0.1;0.1;0.1931536718387426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0994437577255872;0.0;0.0;3.9102103689148366;0.09962640099626399;0.0;0.2487007159493062;1.9802609237866473;0.0;0.0;0.196392114533099;0.0;0.0;0.0;0.0;0.0;0.0;0.09694835680751179;0.0;0.0994437577255872;0.1488875154511742;0.0;0.0;0.0;0.05;0.0;0.2494437577255872;0.396662546353522;0.0;0.0;0.0;0.199813200498132;1.4860949874167293;0.0;0.0;0.0;0.0;0.0;0.0469483568075118;0.0;0.0;0.0;0.24876267150610562;3.193480668157934;0.0;0.0;0.0;0.0;0.0;2.2794863820934395;0.0;0.196018515529363;0.0;0.0;0.0;0.14981273408239698;0.0;0.143834291642489;0.0499375780274656;0.0;0.0;1.125113778088501;0.7251508334838237;0.2468859348349774;0.0999375780274656;0.0;1.679767999090568;0.0;1.0771690017991147;0.0;5.066807438007908;0.09962640099626399;0.0;0.49283787216061475;0.0494437577255872;2.3530363074010587;0.0;0.0
3;Rigual_Hernandez_2015a;47S;47S-1;SAZ;-46.77;142.07;1000;0.9026837478311183;0.15770975515712388;22.34;176.66666666666643;141.8;27.0;0.0;3.866981554268694;0.225927972273846;0.0;0.373831775700934;0.0;0.175438596491228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.275846140447424;0.0;0.0431965442764578;0.0;0.0;0.0;0.0;0.0;0.175438596491228;0.0465116279069768;0.0;4.918162113960894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6791101265142356;0.0;0.0930232558139534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0897081721834346;0.0;0.0;0.0;0.0;0.0;0.0;0.27575468381134177;28.233375324414624;0.0;0.0;0.0431965442764578;0.404040404040404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0431965442764578;0.0;0.0;4.811278704762204;0.39937769482725316;0.0;0.8060482211606675;1.747401694269016;0.0;0.0;0.13621980009041118;0.0;0.0;0.0;0.0;0.0;0.0;0.186046511627907;0.0;0.0;0.4668550315148874;0.0;0.0;0.0;0.087719298245614;0.0;0.0;0.0;0.0;0.0;0.0;0.1309158425220718;1.1941535742012122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30834331295112055;4.55962847978479;0.0;0.0;0.0;0.0;0.0;0.3960626111967346;0.0;0.31696235414997875;0.0;0.0;0.0;0.808080808080808;0.0;1.0838354918921498;0.9011040638947614;0.0;0.0;1.7065110367002396;0.404040404040404;0.0465116279069768;0.0;0.0;0.803395801775272;0.0;2.3045320322298997;0.0;1.7722849491502122;0.373831775700934;0.0;0.76221042852902;0.0;3.169683900249216;0.0;0.0
4;Rigual_Hernandez_2015a;54S;54S-1;PFZ;-53.75;141.75;800;0.9128839425672721;4.391313910887754;72.57142857142857;149.40476190476193;142.53571428571428;675.0595238095236;0.047948822859018615;0.0;0.04931319247299878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5235907546441052;0.04666868202520718;0.040209905225417356;0.0;2.1143619301438967;0.0;0.3686546744283818;0.0;0.0;0.0;0.0;0.0;0.14129100309542572;0.008721437292865857;0.0;0.1538292190041966;0.008210180623973714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007655795437145929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3573279160464208;0.0;0.0;0.0;0.015785319652722965;0.026164311878597607;0.0;77.94022370535001;0.008364001338240215;0.0;1.141174677910594;0.40458023302383966;0.008710801393728214;0.14201755362039653;0.0;0.02281715249201089;0.0;0.0;0.017442874585731714;0.04147590275288947;0.0;0.0;0.0;0.0;0.08225829035059631;2.2864168389050477;0.0;0.007456009543692214;0.0;0.0;0.0;0.015915528135146465;0.0;0.0;0.016019796775386144;0.0;0.0;0.0;0.0;0.0;0.0;0.04174688387767172;0.0;0.008721437292865857;0.008658008658008642;0.008043758043758035;0.0;0.0;0.0;0.0;0.04942920062215371;0.8070241010789222;0.0;0.0;0.0;0.0;0.008796622097114714;0.0;0.02480738240089036;0.0;0.007655795437145929;0.0;0.0247937050237225;0.0;0.0;0.0;0.11402102163658177;0.023629370030874394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3609069356534405;0.24064954341715455;1.181683577775462;0.0;0.0;0.0;0.025104137161804246;0.0;2.023635861077883;0.30191112402922354;0.026048726565077677;3.8730949773243144;0.0;0.0;0.13081636304571118;0.15843178435153327;1.4554509239863902;0.0;0.0;0.21853310177164262;0.49330431777289235;0.0;0.04180795176942536
5;Rigual_Hernandez_2015a;54S;54S-1;PFZ;-53.75;141.75;800;0.9736369723350148;3.935203145740124;246.68421052631578;603.070175438597;483.2894736842105;2403.5526315789475;0.024055922239990656;0.0;0.024509016861658104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4677891795170431;0.2977985525896481;0.09316256624579322;0.0;0.7263888555360919;0.0;0.3913974020495106;0.21143595879462676;0.0;0.0;0.0;0.0;0.6647495008437341;0.035125193985705946;0.0;1.3891481256251528;0.17094150174387485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07639472705468704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24097370513490574;0.0;0.0;0.0;0.018170139648503603;0.10149318244354825;0.0;53.34154226087552;0.0;0.0;3.535122642289202;3.1180165382241767;0.036688890116311004;0.14454749442055304;0.0;0.005708414202534527;0.0;0.0;0.011529371072807973;0.17000600368916452;0.0;0.0;0.0;0.0;0.48646882193587093;4.274684621126033;0.0;0.024257846858353423;0.0;0.0;0.0057458055619397895;0.08780632598087708;0.0;0.0;0.017324477588909867;0.0;0.0;0.0;0.0;0.0;0.0;0.09715127796941463;0.0;0.029678236310981182;0.0;0.013220094743182446;0.0;0.02360420073363234;0.0;0.0;5.821698115447633;10.396081538311707;0.0;0.0;0.0;0.006505757595472;0.011419461338311343;0.0;0.01760707931171808;0.0;0.005974072525240448;0.0;0.006134216660532448;0.0;0.0;0.0;0.05943684578159812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6073586534909766;0.27918144349838037;0.8863648850653366;0.0;0.0;0.0;0.04853489562985294;0.0;4.419950554413375;0.8703094373977583;0.0;2.070565682224583;0.0;0.0;0.10342204676146914;0.30823463025224307;0.44225248694954855;0.0;0.0;0.37633110756042665;0.3435557696777282;0.0;0.024694238247783187
6;Rigual_Hernandez_2015a;54S;54S-1;PFZ;-53.75;141.75;800;1.3805717443434802;3.8356652720582347;52.91363636363637;158.3333333333333;171.8181818181818;427.2727272727274;0.0;0.0;0.0741294350104519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9972123427708873;0.042082601031679684;0.1058786638858305;0.0;1.3108217838438334;0.0;1.948907019828249;0.0;0.0;0.0;0.0;0.0;0.19020024050275613;0.034146355397047135;0.0;0.37118045379443054;0.010809642200843137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07334560260325759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3709013524273787;0.0;0.0;0.0;0.012487512487512502;0.010203040506070819;0.0;73.72053099512715;0.0;0.0;0.1438405687417545;0.7608953279956537;0.023245984784446318;0.010203040506070819;0.0;0.010425354462051726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15474214898613614;1.0686794228284713;0.0;0.010900370612600819;0.0;0.0;0.0;0.06679921611024105;0.0;0.0;0.009579461634256136;0.0;0.0;0.0;0.0;0.0;0.0;0.06261463462655381;0.0;0.0;0.35254545386306596;0.15110989082989162;0.0;0.010272213662044182;0.0;0.0;3.9245818007015187;3.2921225815184076;0.0;0.0;0.0;0.01010101010101009;0.04257062395625486;0.0;0.010758472296933818;0.0;0.01010101010101009;0.0;0.14973585130442146;0.0;0.0;0.0;0.12406516266579541;0.010425354462051726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4431181231597583;0.3092733135154611;1.2690733246119423;0.0;0.0;0.0;0.0;0.0;0.9874890865858067;0.2127592611250697;0.0;2.2346627508647265;0.0;0.0;0.03208419737158636;0.5080412655860069;0.5921520734214044;0.0;0.0;0.7628291076989476;0.9524281133068797;0.0;0.05916440363938382
7;Rigual_Hernandez_2015a;54S;54S-1;PFZ;-53.75;141.75;800;0.7161605667060215;3.2909327036599767;26.70909090909091;86.36363636363632;50.27272727272727;261.21212121212113;0.03162055335968382;0.0;0.022227161591464727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7116261731598317;0.021340162185232634;0.09985494106576427;0.0;2.390226395986169;0.0;0.7458948536107394;0.0;0.0;0.0;0.0;0.0;0.05749741994610718;0.0;0.0;0.32982708019870327;0.01763512917732118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03527025835464245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6649119028655895;0.0;0.0;0.0;0.0;0.0;0.0;83.08469238241196;0.022227161591464727;0.0;0.0;0.1022965753659761;0.0;0.08630212648439654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08256246725914819;0.37028435913750607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021019442984760908;0.0;0.0;0.0;0.0;0.0;0.0;0.07392483051672455;0.0;0.043706293706293725;0.2941353048887762;0.19181683371227176;0.0;0.0;0.0;0.0;0.5639630935644419;0.4470761582775422;0.0;0.0;0.0;0.01763512917732118;0.14541919482265855;0.0;0.11592981556203928;0.0;0.0;0.0;0.02049810392538691;0.0;0.0;0.0;0.157961695235315;0.052688708842671274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03162055335968382;0.0;0.0;0.0;0.31345041433683307;0.153631809677653;1.1764777108817535;0.0;0.0;0.0;0.042725265516851636;0.0;0.7073415675435153;0.08315826330532208;0.021340162185232634;2.071502789563999;0.0;0.0;0.0;0.3237805576913218;1.0447161737759403;0.0;0.03162055335968382;0.40777188066437176;0.7627209037327046;0.0;0.044558986652895455
8;Rigual_Hernandez_2015b;61S;61S-1;POOZ;-60.73;139.9;2000;0.3794057196416022;12.544694380727972;42.37;45.5632561795056;17.28696;571.577123762713;0.188679245283019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.188679245283019;0.0;0.0;0.0;1.32075471698113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.13207547169811;0.0;0.0;0.188679245283019;0.0;0.0;0.0;0.0;0.0;0.0;94.5283018867925;0.0;0.0;0.0;0.0;0.0;0.566037735849057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.188679245283019;0.0;0.0;0.0;0.0;0.188679245283019;0.0;0.0;0.943396226415094;0.0;0.0;0.0;0.0;0.0;0.0
9;Rigual_Hernandez_2015b;61S;61S-1;POOZ;-60.73;139.9;2000;0.8347290274749785;9.880311241394109;619.093831168832;833.3842322553651;575.4690634917696;7690.783772509454;0.017860332202179;0.0;0.0;0.0;0.0;0.0;0.019677292404565092;0.0;0.0;0.0;0.25775208807565675;0.3939088643054149;0.3586813478792431;0.020337604230221636;0.5549130891021256;0.0;0.46582498417215956;0.05725007514556545;0.0;0.0;0.0;0.0;0.344028140154214;0.0;0.0;1.2409405392701187;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01643925694558609;0.0;0.0;0.0;0.0;0.0;0.0;12.517115745852708;0.0;0.0;0.12908728890007456;0.0;0.0;0.0;1.5474674666758916;0.4897350415008258;0.0;51.62116570890543;0.05725007514556545;0.0;6.080033577652679;1.9590933928047205;0.18387456263736313;2.728909975147391;0.0;0.03651359905390327;0.0;0.0;0.0;0.019280825219319366;0.0;0.0;0.0;0.0;0.10747328007730829;0.8439833310997004;0.0;0.0;0.0;0.0;0.0;0.15202914469498674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05779456268115682;0.0;0.05405330542826491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01820001820001818;0.0;0.0;0.0;1.2529838470601982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16084406501533674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07244660742785645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.792416544061498;1.2847708251412446;0.08937197727940736;5.149066647838556;0.01820001820001818;0.20356251861825225;0.017860332202179;0.01820001820001818;0.22205885636370046;0.0;0.0;0.10524540017332208;0.17468881146299245;0.0;0.0
