/* DATA DESCRIPTION:
Citation:	Benz, Verena; Esper, Oliver; Gersonde, Rainer; Lamy, Frank; Tiedemann, Ralf (2016): Age model of sediment core PS58/271-1 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.849114, 
	In supplement to: Benz, V et al. (2016): Last Glacial Maximum sea surface temperature and sea-ice extent in the Pacific sector of the Southern Ocean. Quaternary Science Reviews, 146, 216-237, https://doi.org/10.1016/j.quascirev.2016.06.006
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -61.243000 * LONGITUDE: -116.047000
	DATE/TIME START: 2001-03-20T03:43:00 * DATE/TIME END: 2001-03-20T05:25:00
	MINIMUM DEPTH, sediment/rock: 0.1550 m * MAXIMUM DEPTH, sediment/rock: 23.7000 m
Event(s):	PS58/271-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS58_271-stationcard.pdf) * LATITUDE: -61.243000 * LONGITUDE: -116.047000 * DATE/TIME START: 2001-03-20T03:43:00 * DATE/TIME END: 2001-03-20T05:25:00 * ELEVATION: -5214.0 m * Recovery: 24.42 m * LOCATION: Southeast Pacific * CAMPAIGN: ANT-XVIII/5a (PS58) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: 25 core sections: 0-0.46, 0.46-1.47, 1.47-2.47, 2.47-3.47, 3.47-4.47, 4.47-5.47, 5.47-6.47, 6.47-7.47, 7.47-8.47, 8.47-9.47, 9.47-10.46, 10.46-11.46, 11.46-12.46, 12.46-13.46, 13.46-14.46, 14.46-15.44, 15.44-16.44, 16.44-17.44, 17.44-18.44, 18.44-19.44, 19.44-20.42, 20.42-21.42, 21.42-22.42, 22.42-23.42, 23.42-24.42 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html)
	Age model [ka] (Age model) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html)
	Age, comment (Comm) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html) * COMMENT: Correlation
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	30 data points
*/
Depth sed [m]	Age model [ka]	Comm
0.1550	6.218	14C humic acids
1.1500	10.002	14C humic acids
1.4275	10.981	14C humic acids
1.7400	12.562	14C humic acids
2.1500	15.946	14C humic acids
2.7300	22.340	14C humic acids
3.9100	28.613	Fe with EDC dust
6.9000	39.558	Fe with EDC dust
9.0200	45.750	Fe with EDC dust
12.5200	63.384	Fe with EDC dust
13.6900	70.908	Fe with EDC dust
16.1300	87.005	Fe with EDC dust
19.6200	113.215	SSST with EDC delta T
22.9000	129.425	SSST with EDC delta T
23.7000	139.093	SSST with EDC delta T
