/* DATA DESCRIPTION:
Citation:	Benz, Verena; Esper, Oliver; Gersonde, Rainer; Lamy, Frank; Tiedemann, Ralf (2016): Age model of sediment core PS58/274-1 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.849174, 
	In supplement to: Benz, V et al. (2016): Last Glacial Maximum sea surface temperature and sea-ice extent in the Pacific sector of the Southern Ocean. Quaternary Science Reviews, 146, 216-237, https://doi.org/10.1016/j.quascirev.2016.06.006
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -59.207000 * LONGITUDE: -114.888000
	DATE/TIME START: 2001-03-21T09:50:00 * DATE/TIME END: 2001-03-21T11:22:00
	MINIMUM DEPTH, sediment/rock: 0.085 m * MAXIMUM DEPTH, sediment/rock: 20.650 m
Event(s):	PS58/274-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS58_274-stationcard.pdf) * LATITUDE: -59.207000 * LONGITUDE: -114.888000 * DATE/TIME START: 2001-03-21T09:50:00 * DATE/TIME END: 2001-03-21T11:22:00 * ELEVATION: -5136.0 m * Recovery: 23.28 m * LOCATION: Southeast Pacific * CAMPAIGN: ANT-XVIII/5a (PS58) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: 24 core sections: 0-0.36, 0.36-1.31, 1.31-2.31, 2.31-3.31, 3.31-4.3, 4.3-5.3, 5.3-6.3, 6.3-7.3, 7.3-8.3, 8.3-9.29, 9.29-10.29, 10.29-11.29, 11.29-12.29, 12.29-13.29, 13.29-14.29, 14.29-15.29, 15.29-16.29, 16.29-17.29, 17.29-18.29, 18.29-19.28, 19.28-20.28, 20.28-21.28, 21.28-22.28, 22.28-23.28 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html)
	Age model [ka] (Age model) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html)
	Age, comment (Comm) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/ralf-tiedemann.html) * COMMENT: Correlation
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	20 data points
*/
Depth sed [m]	Age model [ka]	Comm
0.085	3.368	14C dated (humic acids)
1.725	13.177	14C dated (humic acids)
2.785	19.036	14C dated (humic acids)
4.215	22.002	14C dated (humic acids)
5.660	30.329	Fe with EDC dust
6.770	35.070	Fe with EDC dust
13.310	61.450	Fe with EDC dust
15.858	71.714	Fe with EDC dust
20.130	82.000	Fe with EDC dust
20.650	84.575	Fe with EDC dust
