Event	Depth sed [m]	A. curvatulus [%]	A. actinochilus [%]	A. hookeri [%]	A. hyalinus [%]	A. parvulus [%]	A. tabularis var. egregius [%]	A. tabularis [%]	A_tabularis_tot	Chaetoceros spp. veg [%]	Chaetoceros spp. rs [%]	Coscinodiscus spp. [%]	E. antarctica rs [%]	Fragilariopsis spp. [%]	F. kerguelensis [%]	F. obliquecostata [%]	F. sublinearis	F_obli_tot	F. ritscheri [%]	F. curta [%]	F. rhombica [%]	F. separanda [%]	F. pseudonana [%]	F. cylindrus [%]	H. cuneiformis [%]	Navicula spp. [%]	N. directa [%]	N. bicapitata [%]	N. sicula var. bicuneata [%]	N. sicula var. rostrata [%]	N_sicula_tot	O. weissflogii [%]	P-n heimii	P-n lineola-turgiduloides gr [%]	R. antennata f semispina [%]	R. bergonii [%]	Rhizosolenia sp. [%] (sp. A)	R. antennata [%]	R_antennata_tot	R. tesselata [%]	S. microtrias [%]	T. nitzschioides [%] (Form 1)	T. nitzschioides var. capitulata [%]	T. nitzschioides var. lanceolata [%]	T_nitzschioides_tot	T. antarctica [%]	T. gracilis var. expecta [%]	T. gracilis [%]	T. gravida [%]	T. lentiginosa [%]	T. oestrupii [%]	T. oliverana [%]	T. trifulta [%]	T. frenguelliopsis [%]	T. tumida [%]	Thalassiosira spp. [%]	P. pseudodenticulata [%]	P. directum [%]	T. antarctica [%]	T. reinboldii [%]	Delphineis spp. [%] (Species questionable)		Unid
PS58/274-1TC	0.03	0	0	0	0	0	0	1.71	1.71	0	1.5	0	0.64	0	76.45	0	0	0	0	0.21	0.21	1.71	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0.21	0	0	0	0	1.28	1.28	0	0	3.21	0	8.99	0.64	0.21	0	0	0	1.07	0	0	1.93	0	0		0
PS58/274-1TC	0.13	0.16	0	0	0	0.33	0	1.14	1.14	0	3.25	0	0.49	0	72.85	0	0	0	0	0.33	0.16	3.41	0	0	0	0.33	0	0	0	0.16	0.16	0	0	0.16	0	0	0	0	0	0	0	0	0.16	1.79		0	0	3.9	0	8.46	0	0.33	0.16	0	0.16	0.33	0	0.16	1.79	0	0		0
PS58/274-1TC	0.23	0.22	0.22	0	0	0.44	0.22	1.98	2.2	0	2.86	0	1.1	0	72.47	0	0	0	0.22	0	0.44	2.64	0	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	2.2		0	0.22	1.76	0	7.71	0.22	1.32	0.22	0	0	0.44	0	0	1.76	0	0		0
PS58/274-1TC	0.33	0.62	0.25	0	0	0.37	0	1.74	1.74	0	1.99	0	0.75	0	74.16	0	0	0	0.25	0.12	0	2.36	0	0	0	0	0	0	0.12	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0.12	0.87		0	0.12	1.61	0	11.3	0.12	0.25	0.5	0	0.25	0.12	0	0	1.99	0	0		0
PS58/274-1	0.01	0	0	0	0	0.51	0	2.89	2.89	0.17	2.04	0	0.85	0	72.16	0	0	0	0	0	0.34	4.58	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87		0	0	1.7	0.17	9.17	0.17	0.17	0.51	0	0	1.02	0	0	1.53	0	0		0
PS58/274-1	0.05	0.15	0.15	0	0	0.6	0	1.64	1.64	0	1.19	0	0.45	0	72.17	0	0	0	0	0.3	0	2.08	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.45	2.23		0	0	1.93	0	12.65	0	0.89	0.74	0	0	0.45	0	0	1.64	0	0		0
PS58/274-1	0.15	0.24	0.24	0	0	0	0	2.39	2.39	0	1.91	0	0.96	0.24	68.66	0	0	0	0.24	0	0.24	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0.24	0	0	0	1.2	1.44		0	0.24	1.91	0	14.83	0	0.72	0.72	0	0	0.48	0	0	1.44	0	0		0
PS58/274-1	0.25	0.16	0.16	0	0	0.33	0	1.63	1.63	0	1.63	0	0.49	0	74.71	0	0	0	0	0.16	0.16	2.12	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0.16	0	0	0	0.49	0.98		0	0	1.79	0	11.91	0	0.98	0.33	0	0	0	0	0	1.63	0.16	0		0
PS58/274-1	0.35	0.4	0	0	0	0.2	0.2	2	2.2	0	1.2	0	0.8	0	76.85	0	0	0	0.2	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	1.4		0	0.4	1.4	0	8.38	0	0.4	0.4	0	0	0.8	0	0	2.59	0	0		0
PS58/274-1	0.45	0.17	0	0	0	0.17	0	1.5	1.5	0	4.01	0.17	0.83	0	74.62	0	0	0	0.33	0	0.33	2.5	0	0	0	0.17	0	0	0	0	0	0	0.1669449	0	0.17	0	0	0	0.17	0	0	0	0	0.67		0	0	1.67	0	9.18	0	0.67	0.33	0	0	0.67	0	0	1.67	0	0		0
