/* DATA DESCRIPTION:
Citation:	Kuhn, Gerhard; Bohrmann, Gerhard (1996): Sedimentology of core PS1768-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.51126
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
	Silicon Cycling in the World Ocean (SINOPS)
Funding:	Fourth Framework Programme (FP4), grant/award no. MAS3970141: Silicon Cycling in the World Ocean (URI: https://cordis.europa.eu/project/id/MAS3970141)
Coverage:	LATITUDE: -52.593000 * LONGITUDE: 4.476000
	DATE/TIME START: 1989-11-11T21:40:00 * DATE/TIME END: 1989-11-11T21:40:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 8.94 m
Event(s):	PS1768-8 (PS16/311) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS1768-stationcard.pdf) * LATITUDE: -52.593000 * LONGITUDE: 4.476000 * DATE/TIME: 1989-11-11T21:40:00 * ELEVATION: -3299.0 m * Recovery: 8.96 m * LOCATION: Shona Ridge * CAMPAIGN: ANT-VIII/3 (PS16) (URI: https://doi.org/10.2312/BzP_0074_1990) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: 10 core sections: 0-0.44, 0.44-1.06, 1.06-2.06, 2.06-3.06, 3.06-4.06, 4.06-5.04, 5.04-6.04, 6.04-7.04, 7.04-8.04, 8.04-8.96 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Water content, wet mass [%] (Water wm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de)
	Density [g/cm**3] (Density) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Density, wet bulk [g/cm**3] (WBD) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Porosity [% vol] (Poros) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Density, grain [g/cm**3] (Density grain) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Calcium carbonate [%] (CaCO3) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Carbon, organic, total [%] (TOC) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Quartz [%] (Qz) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Feldspar 3.18 Å (Plagioclase)/standard ratio (Pl 3.18 Å/std) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Opal, biogenic silica [%] (bSiO2) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Gravel, mass netto [g] (Gravel) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand, mass netto [g] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt, mass netto [g] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Clay, mass netto [g] (Clay) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction > 2 mm, gravel [%] (>2 mm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand [%] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt [%] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction < 0.002 mm, clay [%] (<2 µm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	1723 data points
*/
Depth sed [m]	Water wm [%]	Density [g/cm**3]	WBD [g/cm**3]	Poros [% vol]	Density grain [g/cm**3]	CaCO3 [%]	TOC [%]	Qz [%]	Pl 3.18 Å/std	bSiO2 [%]	Gravel [g]	Sand [g]	Silt [g]	Clay [g]	>2 mm [%]	Sand [%]	Silt [%]	<2 µm [%]
0.02	41.31	2.02	1.4256	59.598	2.018	15.88	0.230	2.44	0.0500	54.00	0.00	0.24	1.36	0.76	0.00	10.24	57.69	32.08
0.10	41.30	2.01	1.4228	59.465	2.008	11.23	0.180	1.27	0.0400	51.00	0.00	0.08	1.12	0.71	0.00	4.36	58.44	37.21
0.20	41.06	1.94	1.4041	58.335	1.936	4.86	0.160	1.16	0.0300	60.00	0.00	0.09	1.32	0.67	0.00	4.14	63.55	32.31
0.30	41.41	1.96	1.4068	58.951	1.957	2.67	0.170	0.47	0.0200	80.00	0.00	0.09	1.53	0.70	0.00	3.94	65.76	30.30
0.40	41.24	1.93	1.3992	58.398	1.926	2.46	0.150	0.71	0.0400	68.00	0.01	0.10	NaN	0.59	NaN	NaN	NaN	NaN
0.46	41.79	1.91	1.3880	58.699	1.905	3.25	0.160	0.29	0.0100	74.00	0.00	0.13	1.60	0.57	0.00	5.71	69.46	24.83
0.50	42.00	1.90	1.3831	58.783	1.895	2.83	0.140	0.00	0.0000	85.00	0.00	0.22	1.74	0.70	0.00	8.17	65.62	26.20
0.60	42.77	1.99	1.4025	60.698	1.987	2.59	0.140	0.00	0.0000	75.00	0.00	0.16	1.36	0.56	0.00	7.54	65.36	27.10
0.70	43.51	1.95	1.3841	60.943	1.946	3.00	0.140	0.00	0.0000	76.00	0.00	0.18	1.13	0.44	0.00	10.56	64.37	25.06
0.80	42.99	1.93	1.3831	60.176	1.926	1.67	0.140	0.17	0.0000	82.00	0.00	0.20	1.28	0.53	0.00	10.11	63.52	26.37
0.90	42.37	1.90	1.3797	59.160	1.895	0.33	0.170	0.00	0.0000	82.00	0.00	0.18	1.40	0.44	0.00	8.70	69.63	21.68
1.00	42.83	1.96	1.3933	60.395	1.956	0.15	0.190	0.17	0.0000	75.00	0.00	0.14	1.42	0.47	0.00	6.73	70.10	23.17
1.04	42.00	2.04	1.4243	60.543	2.038	0.33	0.240	0.17	0.0200	82.00	0.00	0.16	1.79	0.67	0.00	6.08	68.37	25.55
1.10	42.13	1.97	1.4029	59.810	1.967	0.16	0.210	0.15	0.0400	65.00	0.00	0.10	1.27	0.45	0.00	5.36	69.94	24.69
1.20	41.96	1.97	1.4044	59.644	1.967	0.27	0.240	0.00	0.0200	69.00	0.00	0.09	1.28	0.47	0.00	4.68	69.70	25.62
1.30	42.63	1.92	1.3834	59.686	1.916	0.31	0.240	0.19	0.0200	84.00	0.00	0.10	1.36	0.53	0.00	5.26	68.24	26.50
1.40	43.34	1.91	1.3741	60.266	1.905	2.73	0.300	0.20	0.0300	85.00	0.00	0.08	1.06	0.61	0.00	4.86	60.45	34.69
1.50	43.47	1.90	1.3700	60.268	1.895	0.52	0.440	1.32	0.1800	73.00	0.00	0.11	0.97	0.62	0.22	6.54	56.64	36.59
1.60	42.89	2.01	1.4069	61.067	2.008	0.82	0.470	2.09	0.2100	70.00	0.00	0.10	1.23	1.03	0.00	4.04	52.30	43.66
1.70	42.43	2.19	1.4600	62.686	2.193	1.04	0.470	2.62	0.1200	45.00	0.00	0.16	1.00	0.99	0.00	7.29	46.62	46.09
1.80	42.03	2.19	1.4646	62.297	2.192	0.63	0.350	4.11	0.2600	39.00	0.02	0.26	1.19	1.00	0.95	10.55	48.04	40.46
1.90	40.65	2.31	1.5123	62.204	2.316	1.02	0.450	3.96	0.3000	39.00	0.02	0.34	1.08	0.91	0.63	14.60	45.95	38.82
2.00	41.66	2.23	1.4792	62.368	2.234	0.35	0.380	4.43	1.2200	39.00	0.22	0.21	0.94	0.77	10.22	9.64	44.07	36.07
2.04	41.78	2.18	1.4648	61.938	2.182	0.01	0.390	4.47	0.1700	33.00	0.00	0.25	1.26	0.90	0.00	10.19	52.47	37.34
2.10	43.10	2.13	1.4371	62.681	2.131	0.29	0.400	4.96	0.2300	41.00	0.00	0.24	1.27	0.88	0.00	10.14	53.07	36.79
2.20	42.56	2.15	1.4483	62.369	2.151	0.04	0.350	4.96	0.2600	35.00	0.01	0.35	1.29	1.00	0.49	13.20	48.68	37.63
2.30	42.04	2.15	1.4540	61.858	2.151	0.30	0.350	5.54	0.2900	45.00	0.03	0.37	1.25	1.01	1.13	13.91	47.04	37.92
2.40	41.25	2.23	1.4842	61.955	2.234	0.00	0.260	4.56	0.3400	33.00	0.12	0.41	1.40	0.85	4.38	14.81	50.25	30.56
2.50	41.22	2.22	1.4819	61.819	2.223	0.08	0.260	4.80	0.2900	37.00	0.02	0.32	1.37	0.99	0.55	11.88	50.93	36.65
2.60	41.27	2.18	1.4708	61.425	2.182	0.04	0.290	4.58	0.2300	32.00	0.01	0.26	1.27	0.86	0.44	10.83	52.85	35.88
2.70	42.06	2.18	1.4617	62.213	2.182	0.38	0.280	4.56	0.2500	44.00	0.00	0.19	1.06	0.75	0.00	9.61	52.78	37.61
2.80	41.72	2.19	1.4682	61.981	2.192	0.29	0.220	3.91	0.4100	33.00	0.41	0.28	1.50	0.79	13.64	9.39	50.40	26.57
2.90	41.26	2.20	1.4762	61.637	2.203	0.28	0.260	4.71	0.3100	50.00	0.02	0.37	1.53	0.86	0.90	13.39	54.99	30.72
3.00	40.56	2.26	1.5004	61.589	2.264	0.22	0.240	3.23	0.2600	28.00	0.00	0.39	1.40	0.69	0.00	15.70	56.53	27.77
3.04	40.54	2.21	1.4874	61.026	2.213	0.16	0.230	3.29	0.3500	33.00	0.01	0.31	1.55	0.63	0.26	12.43	61.98	25.32
