/* DATA DESCRIPTION:
Citation:	Kuhn, Gerhard (1996): Sedimentology of core PS1786-1 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.51132
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -54.923330 * LONGITUDE: -31.720000
	DATE/TIME START: 1989-11-24T00:32:00 * DATE/TIME END: 1989-11-24T00:32:00
	MINIMUM DEPTH, sediment/rock: 0.05 m * MAXIMUM DEPTH, sediment/rock: 2.30 m
Event(s):	PS1786-1 (PS16/372) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS1786-stationcard.pdf) * LATITUDE: -54.923330 * LONGITUDE: -31.720000 * DATE/TIME: 1989-11-24T00:32:00 * ELEVATION: -5826.0 m * Penetration: 5 m * Recovery: 2.36 m * LOCATION: South Sandwich Trough * CAMPAIGN: ANT-VIII/3 (PS16) (URI: https://doi.org/10.2312/BzP_0074_1990) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: 3 core sections: 0-0.32, 0.32-1.34, 1.34-2.36 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Water content, wet mass [%] (Water wm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de)
	Gravel, mass netto [g] (Gravel) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand, mass netto [g] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt, mass netto [g] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Clay, mass netto [g] (Clay) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction > 2 mm, gravel [%] (>2 mm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Sand [%] (Sand) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Silt [%] (Silt) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
	Size fraction < 0.002 mm, clay [%] (<2 µm) * PI: Kuhn, Gerhard (https://orcid.org/0000-0001-6069-7485, ge_ku@uni-bremen.de) * METHOD/DEVICE: Grain size, sieving/settling tube
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	222 data points
*/
Depth sed [m]	Water wm [%]	Gravel [g]	Sand [g]	Silt [g]	Clay [g]	>2 mm [%]	Sand [%]	Silt [%]	<2 µm [%]
0.05		0.00	0.08	1.98	1.27	0.00	2.38	59.48	38.14
0.14		0.00	0.12	1.67	1.15	0.00	4.23	56.80	38.97
0.23		0.00	0.08	1.83	1.16	0.00	2.50	59.76	37.74
0.30	67.22	0.00	0.09	2.12	1.20	0.00	2.74	62.16	35.09
0.35	65.49	0.00	0.07	2.02	1.23	0.00	2.17	60.86	36.97
0.40	64.63	0.00	0.08	2.02	1.04	0.00	2.67	64.26	33.07
0.50	66.49	0.00	0.07	1.73	1.12	0.00	2.34	59.26	38.40
0.60	65.07	0.00	0.07	1.80	1.12	0.00	2.19	60.22	37.59
0.70	64.84	0.00	0.09	1.92	1.25	0.00	2.82	58.93	38.25
0.80	64.28	0.00	0.10	1.69	1.04	0.00	3.52	59.75	36.72
0.90	64.37	0.00	0.07	1.36	0.91	0.00	2.79	58.30	38.91
1.00	65.44	0.00	0.10	1.83	1.15	0.00	3.13	59.40	37.47
1.10	62.69	0.00	0.15	2.41	1.48	0.00	3.72	59.62	36.66
1.20	60.43	0.00	0.17	2.13	1.43	0.00	4.49	57.04	38.47
1.30	55.21	0.00	0.38	2.08	1.24	0.00	10.17	56.26	33.57
1.40	59.31	0.00	0.13	2.13	1.29	0.00	3.60	60.10	36.30
1.50	60.96	0.00	0.19	2.41	1.33	0.00	4.79	61.38	33.83
1.60	54.88	0.00	0.28	2.37	1.38	0.00	6.95	58.86	34.19
1.70	56.97	0.01	0.22	2.35	1.50	0.30	5.32	57.65	36.73
1.80	53.29	0.00	0.45	2.22	1.89	0.00	9.88	48.72	41.40
1.90	49.47	0.00	0.30	1.98	1.82	0.00	7.33	48.26	44.41
2.00	49.32	0.06	0.35	1.92	1.24	1.60	9.73	53.73	34.92
2.10	46.05	0.14	0.59	2.17	1.70	2.96	12.75	47.20	37.09
2.20	57.86	0.01	0.31	2.25	2.09	0.25	6.69	48.27	44.78
2.30	49.36	0.02	0.34	2.27	1.68	0.40	7.79	52.72	39.10
