/* DATA DESCRIPTION:
Citation:	Grobe, Hannes (1996): Sedimentology of core PS1786-1 [dataset]. Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Bremerhaven, PANGAEA, https://doi.org/10.1594/PANGAEA.51719
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -54.923330 * LONGITUDE: -31.720000
	DATE/TIME START: 1989-11-24T00:32:00 * DATE/TIME END: 1989-11-24T00:32:00
	MINIMUM DEPTH, sediment/rock: 0.05 m * MAXIMUM DEPTH, sediment/rock: 2.30 m
Event(s):	PS1786-1 (PS16/372) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS1786-stationcard.pdf) * LATITUDE: -54.923330 * LONGITUDE: -31.720000 * DATE/TIME: 1989-11-24T00:32:00 * ELEVATION: -5826.0 m * Penetration: 5 m * Recovery: 2.36 m * LOCATION: South Sandwich Trough * CAMPAIGN: ANT-VIII/3 (PS16) (URI: https://doi.org/10.2312/BzP_0074_1990) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL) * COMMENT: 3 core sections: 0-0.32, 0.32-1.34, 1.34-2.36 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Density, wet bulk [g/cm**3] (WBD) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Calculated
	Porosity [% vol] (Poros) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Calculated
	Density, grain [g/cm**3] (Density grain) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Calculated
	Density [g/cm**3] (Density) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Calcium carbonate [%] (CaCO3) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Carbon, organic, total [%] (TOC) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Sulfur, total [%] (TS) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Ice rafted debris, general [arbitrary units] (IRD) * PI: Grobe, Hannes (https://orcid.org/0000-0002-4133-2218, hannes.grobe@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/hannes-grobe.html) * COMMENT: calculated from IRD-counting
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	200 data points
*/
Depth sed [m]	WBD [g/cm**3]	Poros [% vol]	Density grain [g/cm**3]	Density [g/cm**3]	CaCO3 [%]	TOC [%]	TS [%]	IRD [arbitrary units]
0.05	1.0110	101.273	2.064	2.20	0.72	0.440	0.218	0.000
0.14	1.0110	101.305	2.015	2.36	0.58	0.331	0.226	0.000
0.23	1.0110	101.292	2.036	2.29	0.49	0.384	0.214	0.000
0.30	1.4970	60.896	2.233	2.23	0.46	0.388	0.216	0.000
0.35	1.5180	60.801	2.285	2.28	0.22	0.394	0.206	0.000
0.40	1.5170	60.261	2.264	2.26	0.34	0.402	0.196	0.000
0.50	1.4970	60.519	2.223	2.22	0.23	0.376	0.219	0.000
0.60	1.4980	59.765	2.203	2.20	0.33	0.450	0.212	0.000
0.70	1.5600	62.108	2.439	2.43	0.34	0.416	0.210	0.800
0.80	1.5180	60.127	2.264	2.26	0.14	0.422	0.197	0.000
0.90	1.5240	60.378	2.285	2.28	0.39	0.390	0.214	0.000
1.00	1.4850	59.452	2.162	2.16	0.37	0.430	0.204	0.000
1.10	1.5400	60.049	2.315	2.31	0.10	0.388	0.192	0.800
1.20	1.5320	58.379	2.243	2.24	0.17	0.374	0.167	0.000
1.30	1.6070	57.847	2.407	2.40	0.17	0.377	0.157	1.400
1.40	1.5690	59.105	2.356	2.35	0.26	0.401	0.161	0.600
1.50	1.5490	59.359	2.315	2.31	0.14	0.371	0.182	1.600
1.60	1.5620	56.001	2.246	2.24	0.00	0.326	0.146	1.000
1.70	1.5850	58.211	2.366	2.36	0.06	0.258	0.153	1.000
1.80	1.5980	56.219	2.335	2.33	0.25	0.386	0.124	3.400
1.90	1.6600	55.610	2.457	2.45	0.11	0.211	0.118	1.400
2.00	1.7120	57.220	2.632	2.62	0.14	0.162	0.115	1.200
2.10	1.7240	55.009	2.580	2.57	0.10	0.164	0.098	4.400
2.20	1.6180	60.021	2.510	2.50	0.10	0.142	0.143	1.600
2.30	1.6730	55.962	2.498	2.49	0.02	0.167	0.117	1.000
