/* DATA DESCRIPTION:
Citation:	Bohrmann, Gerhard (1999): Sedimentology of core PS2606-6 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.54954, 
	In: Bohrmann, Gerhard; Kuhn, Gerhard (2011): Sedimentology on various cores from the South Atlantic [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.760128
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
	Silicon Cycling in the World Ocean (SINOPS)
Funding:	Fourth Framework Programme (FP4), grant/award no. MAS3970141: Silicon Cycling in the World Ocean (URI: https://cordis.europa.eu/project/id/MAS3970141)
Coverage:	LATITUDE: -53.231660 * LONGITUDE: 40.801660
	DATE/TIME START: 1994-05-11T00:00:00 * DATE/TIME END: 1994-05-11T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.1 m * MAXIMUM DEPTH, sediment/rock: 12.2 m
Event(s):	PS2606-6 (PS30/144) (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS2606-stationcard.pdf) * LATITUDE: -53.231660 * LONGITUDE: 40.801660 * DATE/TIME: 1994-05-11T00:00:00 * ELEVATION: -2545.0 m * Penetration: 15 m * Recovery: 12.19 m * LOCATION: Conrad Rise * CAMPAIGN: ANT-XI/4 (PS30) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Piston corer (BGR type) (KL) * COMMENT: 13 core sections: 0-0.26, 0.26-1.26, 1.26-2.25, 2.25-3.24, 3.24-4.24, 4.24-5.24, 5.24-6.24, 6.24-7.24, 7.24-8.19, 8.19-9.19, 9.19-10.19, 10.19-11.19, 11.19-12.19 m
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	Opal, biogenic silica [%] (bSiO2) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction, carbonate free
	Opal, biogenic silica [%] (bSiO2) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Quartz (Area, 4.26 Å) [cps] (Qz A 4.26) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Quartz (Area, 3.343 Å) (Qz A 3.343) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: X-ray diffraction (XRD)
	Calcium carbonate [%] (CaCO3) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: Element analyser CHN, LECO (URI: http://www.leco.com/)
	Iron/standard ratio (Fe/std) * PI: Bohrmann, Gerhard (https://orcid.org/0000-0001-9976-4948, gbohrmann@marum.de) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	744 data points
*/
Depth sed [m]	bSiO2 [%] (X-ray diffraction, carbonate ...)	bSiO2 [%] (X-ray diffraction (XRD))	Qz A 4.26 [cps] (X-ray diffraction (XRD))	Qz A 3.343 (X-ray diffraction (XRD))	CaCO3 [%] (Element analyser CHN, LECO)	Fe/std (Calculated)
0.0	90.0	84.1	0.0	0.4	6.5	0.00
0.1	96.7	85.3	0.0	0.1	11.8	0.00
0.2	83.3	75.8	0.0	0.2	9.0	0.00
0.3	91.7	85.0	0.0	0.0	7.3	0.00
0.4	95.0	88.8	0.0	0.0	6.5	0.00
0.5	95.0	88.0	0.0	0.2	7.4	0.00
0.6	93.3	85.7	0.0	0.0	8.2	0.00
0.7	90.0	85.4	0.0	0.0	5.2	0.00
0.8	93.3	87.1	0.0	0.0	6.7	0.00
0.9	95.0	90.6	0.0	0.0	4.6	0.00
1.0	92.5	86.4	0.0	0.0	6.6	0.00
1.1	92.5	87.6	0.0	0.0	5.3	0.00
1.2	92.5	87.0	0.0	0.0	6.0	0.00
1.3	89.2	83.9	0.0	0.0	5.9	0.00
1.4	99.2	94.2	0.0	0.0	5.0	0.00
1.5	87.5	83.0	0.0	0.1	5.1	0.00
1.6	88.3	83.4	0.0	0.0	5.6	0.00
1.7	92.5	87.6	0.0	0.0	5.3	0.00
1.8	90.8	83.9	0.0	0.0	7.6	0.00
1.9	96.7	91.2	0.0	0.0	5.7	0.00
2.0	95.8	87.9	0.0	0.0	8.3	0.00
2.1	86.7	76.9	0.0	0.1	11.2	0.00
2.2	87.5	79.9	0.0	0.0	8.7	0.00
2.3	98.3	89.6	0.0	0.2	8.9	0.00
2.4	93.3	83.1	0.0	0.0	11.0	0.00
2.5	88.3	86.2	0.0	0.2	2.4	0.00
2.6	90.0	88.4	0.0	0.0	1.8	0.00
2.7	97.5	96.1	0.0	0.2	1.4	0.00
2.8	92.5	90.5	0.0	0.0	2.2	0.00
2.9	90.8	88.6	0.0	0.1	2.5	0.00
3.0	95.0	90.9	0.0	0.1	4.3	0.00
3.1	97.5	93.1	0.0	0.0	4.5	0.00
3.2	98.3	95.7	0.0	0.0	2.6	0.00
3.3	95.8	93.2	0.0	0.0	2.7	0.00
3.4	85.8	85.0	0.0	0.2	0.9	0.00
3.5	83.3	82.8	0.0	0.4	0.6	0.07
3.6	74.2	73.9	0.0	0.6	0.3	0.05
3.7	85.0	84.8	0.8	1.0	0.2	0.09
3.8	53.3	53.2	1.3	2.3	0.2	0.18
3.9	74.2	74.2	0.9	1.1	0.0	0.12
4.0	70.8	70.6	1.7	0.9	0.3	0.14
4.1	82.5	82.3	0.7	0.7	0.3	0.11
4.2	73.3	72.8	1.2	0.8	0.8	0.10
4.3	69.2	68.8	1.4	1.0	0.6	0.11
4.4	72.5	72.2	0.9	1.2	0.4	0.08
4.5	80.0	79.6	1.2	0.9	0.4	0.10
4.6	67.5	67.5	1.3	2.2	0.0	0.11
4.7	79.2	79.1	1.9	1.2	0.1	0.13
4.8	72.5	72.4	0.9	1.2	0.1	0.15
4.9	74.2	74.1	2.1	1.2	0.1	0.13
4.9	64.2	64.2	1.8	1.3	0.0	0.12
5.0	75.8	75.8	1.3	1.0	0.0	0.11
5.1	71.7	71.5	1.6	1.2	0.2	0.17
5.2	79.2	78.9	1.3	2.0	0.3	0.17
5.3	79.2	79.1	0.7	0.9	0.0	0.19
5.4	71.7	71.7	0.8	1.1	0.0	0.17
5.5	70.0	69.8	1.5	2.2	0.3	0.19
5.6	64.2	64.2	1.5	1.4	0.0	0.21
5.7	75.0	74.8	0.8	1.2	0.2	0.18
5.8	86.7	86.7	0.8	1.0	0.0	0.16
5.9	63.3	63.3	1.4	1.5	0.0	0.16
