/* DATA DESCRIPTION:
Citation:	Studer, Anja S; Sigman, Daniel M; Martínez‐García, Alfredo; Benz, Verena; Winckler, Gisela; Kuhn, Gerhard; Esper, Oliver; Lamy, Frank; Jaccard, Samuel L; Wacker, Lukas; Oleynik, Sergey; Gersonde, Rainer; Haug, Gerald H (2015): Ba/Fe ratio of sediment core PS75/072-4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.848269, 
	In supplement to: Studer, AS et al. (2015): Antarctic Zone nutrient conditions during the last two glacial cycles. Paleoceanography, 30(7), 845-862, https://doi.org/10.1002/2014PA002745
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -57.558500 * LONGITUDE: -151.219500
	DATE/TIME START: 2009-12-29T21:50:00 * DATE/TIME END: 2009-12-29T21:50:00
	MINIMUM DEPTH, sediment/rock: 0.01 m * MAXIMUM DEPTH, sediment/rock: 9.60 m
Event(s):	PS75/072-4 * LATITUDE: -57.558500 * LONGITUDE: -151.219500 * DATE/TIME: 2009-12-29T21:50:00 * ELEVATION: -3099.0 m * Recovery: 9.61 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) (URI: https://doi.org/10.2312/BzPM_0632_2011) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	AGE [ka BP] (Age) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	Barium/Iron ratio (Ba/Fe) * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	951 data points
*/
Depth sed [m]	Age [ka BP]	Ba/Fe
0.01	0.769	0.438
0.02	0.826	0.452
0.03	0.883	0.456
0.04	0.940	0.415
0.05	0.997	0.399
0.06	1.054	0.443
0.07	1.111	0.412
0.08	1.168	0.408
0.09	1.225	0.469
0.10	1.282	0.470
0.11	1.339	0.454
0.12	1.397	0.435
0.13	1.454	0.465
0.14	1.511	0.443
0.15	1.568	0.460
0.16	1.625	0.458
0.17	1.682	0.480
0.18	1.739	0.469
0.19	1.796	0.429
0.20	1.853	0.415
0.21	1.910	0.407
0.22	1.967	0.460
0.23	2.058	0.517
0.24	2.149	0.495
0.25	2.240	0.489
0.26	2.330	0.465
0.27	2.421	0.427
0.28	2.512	0.406
0.29	2.603	0.360
0.30	2.694	0.394
0.31	2.785	0.449
0.32	2.875	0.424
0.33	2.966	0.420
0.34	3.057	0.427
0.35	3.148	0.410
0.36	3.239	0.431
0.37	3.330	0.443
0.38	3.420	0.405
0.39	3.511	0.434
0.40	3.602	0.420
0.41	3.693	0.415
0.42	3.784	0.485
0.43	3.875	0.485
0.44	3.965	0.477
0.45	4.056	0.432
0.46	4.147	0.469
0.47	4.238	0.526
0.48	4.329	0.507
0.49	4.420	0.455
0.50	4.510	0.447
0.51	4.601	0.434
0.52	4.692	0.448
0.53	4.829	0.475
0.54	4.966	0.735
0.55	5.103	0.601
0.56	5.239	0.589
0.57	5.376	0.444
0.58	5.513	0.424
0.59	5.650	0.381
0.61	5.924	0.362
0.62	6.061	0.378
0.64	6.334	0.343
0.65	6.471	0.321
0.66	6.608	0.388
0.67	6.745	0.349
0.68	6.882	0.358
0.69	7.018	0.332
0.70	7.155	0.276
0.71	7.292	0.326
0.72	7.429	0.431
0.73	7.566	0.326
0.74	7.703	0.326
0.75	7.840	0.351
0.76	7.976	0.334
0.77	8.113	0.345
0.78	8.250	0.368
0.79	8.387	0.370
0.80	8.524	0.347
0.81	8.661	0.338
0.82	8.798	0.336
0.83	8.934	0.346
0.84	9.071	0.345
0.85	9.208	0.360
0.86	9.345	0.450
0.87	9.482	0.372
0.88	9.619	0.402
0.89	9.755	0.369
0.90	9.892	0.292
0.91	10.029	0.313
0.92	10.166	0.313
0.93	10.353	0.281
0.94	10.539	0.280
0.95	10.726	0.291
0.96	10.912	0.386
0.97	11.099	0.277
0.98	11.285	0.360
0.99	11.472	0.485
1.00	11.659	0.377
1.01	11.845	0.341
1.02	12.032	0.366
1.03	12.218	0.343
1.04	12.405	0.323
1.05	12.592	0.313
1.06	12.778	0.357
1.07	12.965	0.296
1.08	13.096	0.287
1.09	13.201	0.248
1.10	13.306	0.258
1.11	13.411	0.259
1.12	13.517	0.225
1.13	13.622	0.249
1.14	13.727	0.226
1.15	13.832	0.269
1.16	13.938	0.263
1.17	14.043	0.263
1.18	14.148	0.251
1.19	14.253	0.235
1.20	14.358	0.227
1.21	14.464	0.230
1.22	14.569	0.254
1.23	14.674	0.249
1.24	14.779	0.246
1.25	14.884	0.247
1.26	14.990	0.239
1.27	15.095	0.204
1.28	15.200	0.191
1.29	15.305	0.211
1.30	15.411	0.197
1.31	15.516	0.212
1.32	15.621	0.231
1.33	15.751	0.199
1.34	15.880	0.191
1.35	16.010	0.187
1.36	16.139	0.205
1.37	16.269	0.162
1.38	16.398	0.153
1.39	16.528	0.142
1.40	16.657	0.146
1.41	16.787	0.151
1.42	16.916	0.178
1.43	17.046	0.163
1.44	17.175	0.133
1.45	17.305	0.130
1.46	17.434	0.108
1.47	17.564	0.075
1.48	17.693	0.094
1.49	17.823	0.081
1.50	17.952	0.094
1.51	18.082	0.098
1.52	18.211	0.100
1.53	18.341	0.087
1.54	18.470	0.071
1.55	18.600	0.092
1.56	18.729	0.087
1.57	18.859	0.060
1.58	22.469	0.066
1.59	26.791	0.071
1.60	31.113	0.076
1.61	35.434	0.098
1.62	38.574	0.081
1.63	40.479	0.092
1.64	42.385	0.079
1.65	44.290	0.067
1.66	46.195	0.066
1.67	48.100	0.086
1.68	50.006	0.076
1.69	51.911	0.162
1.70	53.816	0.122
1.71	55.722	0.100
1.72	57.627	0.082
1.73	59.532	0.141
1.74	61.438	0.266
1.75	63.343	0.187
1.76	65.248	0.102
1.77	67.154	0.087
1.78	68.066	0.137
1.79	68.882	0.240
1.80	69.697	0.167
1.81	70.513	0.097
1.82	71.243	0.182
1.83	71.484	0.189
1.84	71.725	0.261
1.85	71.965	0.178
1.86	72.206	0.239
1.87	72.447	0.329
1.88	72.688	0.255
1.89	72.928	0.276
1.90	73.169	0.287
1.91	73.410	0.239
1.92	73.651	0.238
1.93	73.780	0.323
1.94	73.909	0.341
1.95	74.038	0.166
1.96	74.168	0.271
1.97	74.297	0.260
1.98	74.426	0.223
1.99	74.555	0.256
2.00	74.684	0.331
2.01	74.814	0.203
2.02	74.943	0.181
2.03	75.072	0.257
2.04	75.201	0.278
2.05	75.331	0.189
2.06	75.460	0.293
2.07	75.589	0.322
2.08	75.718	0.378
2.09	75.848	0.320
2.10	75.977	0.313
2.11	76.106	0.416
2.12	76.235	0.463
2.13	76.364	0.439
2.14	76.494	0.409
2.15	76.623	0.414
2.16	76.752	0.412
2.17	76.881	0.454
2.18	77.011	0.378
2.19	77.140	0.432
2.20	77.269	0.376
2.21	77.398	0.287
2.22	77.528	0.296
2.23	77.657	0.277
2.24	77.786	0.349
2.25	77.915	0.386
2.26	78.044	0.354
2.27	78.174	0.420
2.28	78.303	0.390
2.29	78.432	0.387
2.30	78.561	0.455
2.31	78.691	0.352
2.32	78.820	0.396
2.33	78.949	0.379
2.34	79.078	0.342
2.35	79.208	0.328
2.36	79.337	0.367
2.37	79.466	0.359
2.38	79.595	0.403
2.39	79.724	0.373
2.40	79.854	0.355
2.41	79.983	0.370
2.42	80.112	0.346
2.43	80.241	0.358
2.44	80.371	0.350
2.45	80.500	0.343
2.46	80.629	0.304
2.47	80.758	0.309
2.48	80.888	0.290
2.49	81.017	0.287
2.50	81.146	0.322
2.51	81.275	0.337
2.52	81.404	0.307
2.53	81.534	0.308
2.55	81.792	0.312
2.56	81.921	0.272
2.57	82.051	0.298
2.58	82.180	0.319
2.59	82.309	0.304
2.60	82.438	0.339
2.61	82.568	0.271
2.62	82.697	0.272
2.63	82.826	0.328
2.64	82.955	0.402
2.65	83.084	0.248
2.66	83.214	0.347
2.67	83.343	0.309
2.68	83.472	0.245
2.69	83.601	0.213
2.70	83.731	0.283
2.71	83.860	0.264
2.72	83.989	0.261
2.73	84.118	0.257
2.74	84.248	0.251
2.75	84.377	0.235
2.76	84.506	0.260
2.77	84.635	0.249
2.78	84.764	0.272
2.79	84.894	0.269
2.80	85.023	0.262
2.81	85.152	0.237
2.82	85.281	0.237
2.83	85.411	0.215
2.84	85.540	0.203
2.85	85.669	0.200
2.86	85.798	0.186
2.87	85.928	0.251
2.88	86.057	0.234
2.89	86.186	0.192
2.90	86.315	0.164
2.91	86.444	0.188
2.92	86.574	0.247
2.93	86.703	0.236
2.94	86.832	0.221
2.95	86.961	0.153
2.96	87.121	0.172
2.97	87.281	0.173
2.98	87.441	0.143
2.99	87.601	0.157
3.00	87.761	0.154
3.01	87.921	0.174
3.02	88.081	0.158
3.03	88.241	0.163
3.04	88.401	0.149
3.05	88.561	0.143
3.06	88.721	0.152
3.07	88.881	0.162
3.08	89.041	0.170
3.09	89.201	0.197
3.10	89.361	0.233
3.11	89.521	0.212
3.12	89.681	0.227
3.13	89.841	0.175
3.14	90.001	0.232
3.15	90.161	0.302
3.16	90.321	0.241
3.17	90.481	0.251
3.18	90.641	0.271
3.19	90.801	0.213
3.20	90.961	0.291
3.21	91.121	0.270
3.22	91.281	0.238
3.23	91.441	0.236
3.24	91.601	0.215
3.25	91.761	0.219
3.26	91.921	0.279
3.27	92.081	0.270
3.28	92.241	0.249
3.29	92.401	0.243
3.30	92.561	0.246
3.31	92.721	0.241
3.32	92.881	0.240
3.33	93.041	0.153
3.34	93.201	0.277
3.35	93.361	0.269
3.36	93.521	0.265
3.37	93.681	0.279
3.38	93.841	0.322
3.39	94.001	0.279
3.40	94.161	0.337
3.41	94.321	0.305
3.42	94.481	0.267
3.43	94.641	0.267
3.44	94.801	0.281
3.45	94.961	0.280
