/* DATA DESCRIPTION:
Citation:	Studer, Anja S; Sigman, Daniel M; Martínez‐García, Alfredo; Benz, Verena; Winckler, Gisela; Kuhn, Gerhard; Esper, Oliver; Lamy, Frank; Jaccard, Samuel L; Wacker, Lukas; Oleynik, Sergey; Gersonde, Rainer; Haug, Gerald H (2015): Stable oxygen isotopic composition of Neogloboquadrina pachyderma of sediment core PS75/072-4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.848267, 
	In supplement to: Studer, AS et al. (2015): Antarctic Zone nutrient conditions during the last two glacial cycles. Paleoceanography, 30(7), 845-862, https://doi.org/10.1002/2014PA002745
Project(s):	Paleoenvironmental Reconstructions from Marine Sediments @ AWI (AWI_Paleo) (URI: https://www.awi.de/en/science/geosciences/marine-geology.html)
Coverage:	LATITUDE: -57.558500 * LONGITUDE: -151.219500
	DATE/TIME START: 2009-12-29T21:50:00 * DATE/TIME END: 2009-12-29T21:50:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 9.02 m
Event(s):	PS75/072-4 * LATITUDE: -57.558500 * LONGITUDE: -151.219500 * DATE/TIME: 2009-12-29T21:50:00 * ELEVATION: -3099.0 m * Recovery: 9.61 m * LOCATION: South Pacific Ocean * CAMPAIGN: ANT-XXVI/2 (PS75 BIPOMAC) (URI: https://doi.org/10.2312/BzPM_0632_2011) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	AGE [ka BP] (Age) * GEOCODE * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/)
	Neogloboquadrina pachyderma dextral and/or sinistral, δ18O [‰ PDB] (N. pachyderma δ18O) * PI: Studer, Anja S (https://orcid.org/0000-0001-7354-8497, anja.studer@unibas.ch, https://duw.unibas.ch/de/bgc/team/studer/) * COMMENT: with respect to VPDB
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	131 data points
*/
Depth sed [m]	Age [ka BP]	N. pachyderma δ18O [‰ PDB]
0.02	0.826	3.52
0.07	1.111	3.62
0.12	1.397	3.58
0.17	1.682	3.46
0.22	1.967	3.63
0.27	2.421	3.49
0.32	2.875	3.52
0.37	3.330	3.56
0.42	3.784	3.50
0.47	4.238	3.60
0.52	4.692	3.44
0.57	5.376	3.62
0.62	6.061	3.67
0.67	6.745	3.59
0.72	7.429	3.56
0.77	8.113	3.70
0.82	8.798	3.60
0.87	9.482	3.64
0.92	10.166	3.79
0.97	11.099	3.77
1.02	12.032	3.78
1.07	12.965	4.20
1.12	13.517	3.86
1.17	14.043	3.99
1.22	14.569	3.99
1.27	15.095	4.10
1.32	15.621	4.44
1.37	16.269	4.36
1.42	16.916	4.53
1.47	17.564	4.60
1.52	18.211	4.68
1.57	18.859	4.80
1.62	38.574	4.51
1.67	48.100	4.64
1.72	57.627	4.50
1.77	67.154	4.73
1.82	71.243	4.32
1.87	72.447	4.45
1.92	73.651	4.51
1.97	74.297	4.39
2.07	75.589	4.35
2.12	76.235	3.61
2.17	76.881	3.56
2.22	77.528	3.55
2.27	78.174	3.80
2.32	78.820	3.71
2.37	79.466	3.82
2.47	80.758	3.79
2.52	81.404	3.73
2.57	82.051	3.83
2.62	82.697	3.77
2.67	83.343	3.96
2.72	83.989	3.85
2.77	84.635	3.73
2.82	85.281	3.84
2.92	86.574	4.05
4.07	104.792	3.92
4.12	105.264	3.83
4.17	105.736	3.81
4.22	106.208	3.89
4.27	106.681	3.87
4.32	107.153	3.82
4.37	107.625	3.98
4.42	108.097	4.00
4.47	108.569	4.03
4.52	109.042	4.00
4.57	109.514	4.08
4.62	109.986	3.94
4.67	110.458	3.98
4.77	111.270	3.99
4.82	111.644	3.83
4.87	112.019	3.87
4.92	112.393	3.80
4.97	112.768	3.83
5.02	113.142	3.60
5.07	113.516	3.74
5.12	113.891	3.60
5.17	114.265	3.47
5.22	114.970	3.34
5.27	115.911	3.48
5.32	116.852	3.49
5.37	117.794	3.47
5.42	118.735	3.29
5.47	119.676	3.60
5.52	120.617	3.17
5.57	121.559	3.17
5.62	122.500	3.33
5.67	123.441	3.13
5.72	124.383	3.00
5.77	125.324	3.00
5.82	126.265	3.32
5.87	126.633	3.13
5.92	126.927	3.36
5.97	127.221	3.15
6.02	127.515	3.13
6.07	127.809	3.30
6.12	128.104	2.93
6.17	128.398	3.07
6.22	128.692	3.20
6.27	128.986	3.29
6.32	129.280	3.18
6.37	129.574	3.34
6.42	129.868	3.21
6.47	130.162	3.25
6.52	130.456	3.23
6.57	130.750	3.60
6.62	131.044	3.60
6.67	131.339	3.57
6.72	132.408	3.77
6.77	133.486	4.06
6.82	134.565	4.37
6.92	137.460	4.48
6.97	139.355	4.67
7.52	196.450	3.54
7.57	197.644	3.55
7.62	198.130	3.47
7.67	198.616	3.41
8.27	204.448	3.48
8.32	205.060	3.74
8.37	205.848	3.63
8.42	206.635	3.56
8.47	207.423	3.45
8.57	208.999	3.75
8.67	210.575	3.67
8.72	211.363	3.62
8.77	212.151	3.74
8.82	212.938	3.90
8.87	213.726	3.62
8.92	214.514	3.55
8.97	215.302	3.48
9.02	216.090	3.59
